"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/27/2020","AQS","250092006","1","0.025","ppm","23","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/28/2020","AirNow","250092006","1","0.04","ppm","37","LYNN WATER TREATMENT PLANT","18","75.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/29/2020","AirNow","250092006","1","0.043","ppm","40","LYNN WATER TREATMENT PLANT","24","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/31/2020","AirNow","250092006","1","0.036","ppm","33","LYNN WATER TREATMENT PLANT","24","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/01/2020","AirNow","250092006","1","0.02","ppm","19","LYNN WATER TREATMENT PLANT","24","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/02/2020","AirNow","250092006","1","0.032","ppm","30","LYNN WATER TREATMENT PLANT","24","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/03/2020","AirNow","250092006","1","0.03","ppm","28","LYNN WATER TREATMENT PLANT","24","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/04/2020","AirNow","250092006","1","0.029","ppm","27","LYNN WATER TREATMENT PLANT","24","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/05/2020","AirNow","250092006","1","0.035","ppm","32","LYNN WATER TREATMENT PLANT","24","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/06/2020","AirNow","250092006","1","0.034","ppm","31","LYNN WATER TREATMENT PLANT","24","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/07/2020","AirNow","250092006","1","0.032","ppm","30","LYNN WATER TREATMENT PLANT","24","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/08/2020","AirNow","250092006","1","0.035","ppm","32","LYNN WATER TREATMENT PLANT","24","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/09/2020","AirNow","250092006","1","0.037","ppm","34","LYNN WATER TREATMENT PLANT","24","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/10/2020","AirNow","250092006","1","0.035","ppm","32","LYNN WATER TREATMENT PLANT","24","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/12/2020","AirNow","250092006","1","0.04","ppm","37","LYNN WATER TREATMENT PLANT","24","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/13/2020","AQS","250092006","1","0.029","ppm","27","LYNN WATER TREATMENT PLANT","13","76.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/15/2020","AQS","250092006","1","0.029","ppm","27","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/16/2020","AQS","250092006","1","0.029","ppm","27","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/17/2020","AQS","250092006","1","0.044","ppm","41","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/20/2020","AQS","250092006","1","0.039","ppm","36","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/21/2020","AQS","250092006","1","0.033","ppm","31","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/22/2020","AQS","250092006","1","0.044","ppm","41","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/23/2020","AQS","250092006","1","0.046","ppm","43","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
