"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/28/2020","AQS","330150014","1","4.4","ppb","6","PORTSMOUTH - PEIRCE ISLAND","23","96.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"03/29/2020","AQS","330150014","1","2.2","ppb","3","PORTSMOUTH - PEIRCE ISLAND","23","96.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"03/30/2020","AQS","330150014","1","1","ppb","1","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"03/31/2020","AQS","330150014","1","1.1","ppb","1","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"04/01/2020","AQS","330150014","1","0.9","ppb","0","PORTSMOUTH - PEIRCE ISLAND","23","96.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"04/02/2020","AQS","330150014","1","3","ppb","4","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"04/03/2020","AQS","330150014","1","0.5","ppb","0","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"04/04/2020","AQS","330150014","1","0.4","ppb","0","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"04/05/2020","AQS","330150014","1","0.9","ppb","0","PORTSMOUTH - PEIRCE ISLAND","22","92.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"04/06/2020","AQS","330150014","1","2.2","ppb","3","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"04/07/2020","AQS","330150014","1","2.4","ppb","3","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"04/08/2020","AQS","330150014","1","0.6","ppb","0","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"04/09/2020","AQS","330150014","1","0.4","ppb","0","PORTSMOUTH - PEIRCE ISLAND","23","96.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"04/10/2020","AQS","330150014","1","0.9","ppb","0","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"04/11/2020","AQS","330150014","1","0.7","ppb","0","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"04/12/2020","AQS","330150014","1","1.2","ppb","1","PORTSMOUTH - PEIRCE ISLAND","23","96.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"04/13/2020","AQS","330150014","1","1.3","ppb","1","PORTSMOUTH - PEIRCE ISLAND","23","96.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"04/14/2020","AQS","330150014","1","1.6","ppb","1","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
